CH4因子统计特征分析
数据期间: 2000-01 至 2026-02
样本量: 314 个月

月度统计特征
,无风险利率,市场超额收益,价值因子,规模因子,动量因子
月度均值(%),0.1788,0.6058,1.0016,0.4971,0.815
月度标准差(%),0.0576,7.127,3.8265,4.3598,3.4889
最小值(%),0.11,-25.47,-12.96,-17.2,-20.19
最大值(%),0.34,24.58,15.17,18.41,12.75
年化均值(%),2.1455,7.2696,12.0191,5.9648,9.7796
年化波动(%),0.1996,24.6886,13.2555,15.1028,12.0858
年化夏普,10.7511,0.2945,0.9067,0.3949,0.8092

因子相关性矩阵
,无风险利率,市场超额收益,价值因子,规模因子,动量因子
无风险利率,1.0,-0.0684,0.0239,0.0544,0.0926
市场超额收益,-0.0684,1.0,-0.3109,0.1506,-0.2041
价值因子,0.0239,-0.3109,1.0,-0.5887,0.0496
规模因子,0.0544,0.1506,-0.5887,1.0,0.0976
动量因子,0.0926,-0.2041,0.0496,0.0976,1.0

分位数统计 (月度收益 %)
,无风险利率,市场超额收益,价值因子,规模因子,动量因子
5%,0.12,-9.4265,-4.7585,-6.114,-4.1035
10%,0.12,-7.24,-3.489,-4.358,-2.774
25%,0.13,-3.4,-1.03,-1.8,-0.8275
50%,0.17,0.66,1.035,0.31,0.86
75%,0.2,4.2325,3.465,2.8675,2.6225
90%,0.257,9.357,5.077,6.007,4.131
95%,0.29,14.286,6.684,7.956,6.2415
