Date,Strategy_Return,mktrf,SMB,VMG,PMO,const,CH4_Residuals
2005-07-01,-0.0860295,0.001,-0.077,0.081,-0.0356,1.0,0.005332156443102823
2005-08-01,0.24728672,0.0836,0.0809,-0.0438,0.0174,1.0,0.06519518763672513
2005-09-01,0.048925,-0.0049,0.0305,0.0292,0.0136,1.0,0.02083399977551436
2005-10-01,-0.10081162,-0.0575,-0.0021,0.0181,0.0378,1.0,-0.05339087404299612
2005-11-01,0.01006557,0.0023,0.0148,-0.0062,0.0263,1.0,-0.02148910192860842
2005-12-01,0.01658719,0.0607,-0.0469,0.0437,0.0065,1.0,-0.0036827100415851854
2006-01-01,0.15747051,0.0862,-0.0077,-0.0042,0.021,1.0,0.06065737823823525
2006-02-01,0.0501269699999999,0.0361,-0.0167,-0.0262,0.0265,1.0,0.008722616807141405
2006-03-01,-0.03155205,0.0065,-0.0102,0.0172,-0.0285,1.0,-0.021581719222603976
2006-04-01,-0.05963699,0.1128,-0.0107,0.0469,-0.0319,1.0,-0.154782632612838
2006-05-01,0.31071782,0.1603,0.097,-0.0813,0.0751,1.0,0.006770552241381289
2006-06-01,0.0473767799999999,0.0259,0.0476,0.0375,-0.0108,1.0,-0.019288922840233542
2006-07-01,-0.01629989,-0.0688,0.0423,-0.0124,0.0169,1.0,0.0035512151423753406
2006-08-01,0.00571171,0.0394,-0.0072,-0.0016,0.0004,1.0,-0.03484038012387848
2006-09-01,0.25377076,0.0464,-0.0063,-0.0098,0.0344,1.0,0.19202239622453138
2006-10-01,0.01707647,0.0265,-0.0359,0.0828,0.0171,1.0,0.02578045625693157
2006-11-01,0.05915767,0.1463,-0.1264,0.0399,-0.0111,1.0,0.0279949389906927
2006-12-01,0.02602701,0.1393,-0.0955,0.0617,-0.0184,1.0,-0.02021295372894211
2007-01-01,0.24016111,0.1368,0.123,0.0146,0.0774,1.0,-0.04731581908720878
2007-02-01,0.24321977,0.0651,0.1181,-0.059,-0.0869,1.0,0.0788586220464075
2007-03-01,0.2018197,0.1109,0.0639,-0.0115,-0.0222,1.0,0.025877741850573704
2007-04-01,0.25150972,0.2458,0.0699,-0.093,-0.1246,1.0,-0.05136595613213013
2007-05-01,0.10287212,0.0941,-0.0091,0.0008,0.032,1.0,-0.003827919778193828
2007-06-01,-0.09271731,-0.0922,-0.0653,0.1335,0.1185,1.0,0.042599257031860654
2007-07-01,0.20680206,0.1761,0.0626,-0.0315,0.0093,1.0,-0.05076114721711167
