Date,Strategy_Return,rf_mon,Strategy_Excess_Return,mktrf,SMB,VMG,const
2005-07-01,-0.0860295,0.0019,-0.0879295,0.001,-0.0662,0.081,1.0
2005-08-01,0.24728672,0.0019,0.24538671999999997,0.0836,0.0739,-0.0438,1.0
2005-09-01,0.048925,0.0018,0.047125,-0.0049,0.0329,0.0292,1.0
2005-10-01,-0.10081162,0.0019,-0.10271162,-0.0575,-0.0079,0.0181,1.0
2005-11-01,0.01006557,0.0018,0.00826557,0.0023,0.0105,-0.0062,1.0
2005-12-01,0.01658719,0.0019,0.014687190000000001,0.0607,-0.0373,0.0437,1.0
2006-01-01,0.15747051,0.0019,0.15557051,0.0862,-0.0072,-0.0042,1.0
2006-02-01,0.0501269699999999,0.0017,0.0484269699999999,0.0361,-0.0169,-0.0262,1.0
2006-03-01,-0.03155205,0.0019,-0.03345205,0.0065,-0.0122,0.0172,1.0
2006-04-01,-0.05963699,0.0018,-0.061436990000000004,0.1128,-0.0104,0.0469,1.0
2006-05-01,0.31071782,0.0019,0.30881781999999997,0.1603,0.0916,-0.0813,1.0
2006-06-01,0.0473767799999999,0.0018,0.0455767799999999,0.0259,0.0538,0.0375,1.0
2006-07-01,-0.01629989,0.0019,-0.01819989,-0.0688,0.0405,-0.0124,1.0
2006-08-01,0.00571171,0.002,0.00371171,0.0394,-0.0088,-0.0016,1.0
2006-09-01,0.25377076,0.002,0.25177076,0.0464,-0.0109,-0.0098,1.0
2006-10-01,0.01707647,0.0021,0.01497647,0.0265,-0.025,0.0828,1.0
2006-11-01,0.05915767,0.002,0.05715767,0.1463,-0.1181,0.0399,1.0
2006-12-01,0.02602701,0.0021,0.02392701,0.1393,-0.0873,0.0617,1.0
2007-01-01,0.24016111,0.0021,0.23806111000000002,0.1368,0.1191,0.0146,1.0
2007-02-01,0.24321977,0.0019,0.24131977,0.0651,0.1226,-0.059,1.0
2007-03-01,0.2018197,0.0022,0.19961969999999998,0.1109,0.0643,-0.0115,1.0
2007-04-01,0.25150972,0.0023,0.24920972,0.2458,0.082,-0.093,1.0
2007-05-01,0.10287212,0.0024,0.10047212,0.0941,-0.0137,0.0008,1.0
2007-06-01,-0.09271731,0.0025,-0.09521731,-0.0922,-0.0564,0.1335,1.0
2007-07-01,0.20680206,0.0027,0.20410206,0.1761,0.0533,-0.0315,1.0
2007-08-01,0.1078179,0.0029,0.1049179,0.1516,-0.0368,0.0192,1.0
2007-09-01,0.01456269,0.003,0.01156269,0.0617,-0.0135,0.0351,1.0
2007-10-01,-0.11015965,0.0032,-0.11335964999999999,0.0483,-0.1265,0.1328,1.0
2007-11-01,-0.01963584,0.0031,-0.02273584,-0.1526,0.1079,0.0342,1.0
2007-12-01,0.20973942,0.0033,0.20643942,0.1186,0.0918,-0.0092,1.0
2008-01-01,-0.08349242,0.0034,-0.08689242,-0.157,0.0904,-0.0159,1.0
2008-02-01,0.05558879,0.0032,0.05238879,0.0229,0.0868,0.008,1.0
2008-03-01,-0.17906099,0.0034,-0.18246099,-0.1992,0.0032,-0.0004,1.0
2008-04-01,0.03507872,0.0033,0.03177872,0.046,-0.0891,0.0763,1.0
2008-05-01,-0.04421913,0.0034,-0.04761913,-0.0693,0.0197,-0.0564,1.0
2008-06-01,-0.24276444,0.0033,-0.24606444,-0.2076,-0.0465,0.0409,1.0
2008-07-01,0.10844107,0.0034,0.10504107,0.0165,0.0743,-0.0166,1.0
2008-08-01,-0.23844093,0.0034,-0.24184092999999998,-0.1516,-0.0757,0.0416,1.0
2008-09-01,-0.07045213,0.0033,-0.07375213,-0.0469,-0.0587,-0.0416,1.0
2008-10-01,-0.28100237,0.0033,-0.28430237,-0.2547,-0.0005,0.0442,1.0
2008-11-01,0.26121871,0.0028,0.25841871,0.0937,0.1122,-0.0391,1.0
2008-12-01,0.13400173,0.002,0.13200173,-0.0215,0.0946,0.0337,1.0
2009-01-01,0.2292257,0.0019,0.2273257,0.0965,0.0777,0.0079,1.0
2009-02-01,0.13712433,0.0017,0.13542432999999998,0.0491,0.025,-0.0433,1.0
2009-03-01,0.20173983,0.0019,0.19983983,0.1463,0.0753,-0.0092,1.0
2009-04-01,0.0425939699999999,0.0018,0.040793969999999895,0.0417,0.041,0.0393,1.0
2009-05-01,0.02713849,0.0019,0.025238490000000002,0.0609,0.0072,-0.0262,1.0
2009-06-01,0.0843000399999999,0.0018,0.0825000399999999,0.1265,-0.0756,0.0259,1.0
2009-07-01,0.10085682,0.0019,0.09895682,0.1555,-0.0552,-0.0808,1.0
2009-08-01,-0.10474094,0.0019,-0.10664094,-0.2182,0.094,0.0521,1.0
2009-09-01,0.03129749,0.0018,0.029497489999999998,0.0457,0.0011,0.0566,1.0
2009-10-01,0.10846208,0.0019,0.10656208,0.0829,0.0442,0.0042,1.0
2009-11-01,0.16160947,0.0018,0.15980947,0.0731,0.0889,-0.006,1.0
2009-12-01,0.02855376,0.0019,0.026653760000000002,0.0225,0.0308,0.0393,1.0
2010-01-01,-0.05041556,0.0019,-0.05231556,-0.0895,0.0603,-0.0124,1.0
2010-02-01,0.03665138,0.0017,0.03495138,0.023,0.0337,-0.025,1.0
2010-03-01,0.01907151,0.0019,0.01717151,0.0149,0.0269,0.0116,1.0
2010-04-01,-0.08678673,0.0018,-0.08858673,-0.0791,0.0092,0.0009,1.0
2010-05-01,-0.10576229,0.0019,-0.10766229,-0.087,-0.0018,0.0,1.0
2010-06-01,-0.07177672,0.0018,-0.07357672,-0.074,-0.0091,0.0299,1.0
2010-07-01,0.21186944,0.0019,0.20996943999999998,0.1127,0.0541,0.0117,1.0
2010-08-01,0.0685455099999999,0.0019,0.06664550999999991,0.0178,0.0551,-0.039,1.0
2010-09-01,-0.00247556,0.0018,-0.004275559999999999,0.0064,-0.0157,-0.0193,1.0
2010-10-01,0.13051657,0.002,0.12851657,0.1239,-0.0354,0.0157,1.0
2010-11-01,0.02878349,0.002,0.02678349,-0.0472,0.0537,0.004,1.0
2010-12-01,-0.03486415,0.0021,-0.036964149999999994,-0.0114,-0.0112,0.0399,1.0
2011-01-01,-0.02699554,0.0023,-0.02929554,-0.0275,-0.0084,0.0426,1.0
2011-02-01,0.09351852,0.0022,0.09131852,0.0484,0.0477,-0.0336,1.0
2011-03-01,-0.00294314,0.0025,-0.00544314,-0.0059,0.0078,0.0163,1.0
2011-04-01,-0.01721288,0.0026,-0.019812879999999998,-0.0151,-0.0166,0.021,1.0
2011-05-01,-0.08032002,0.0027,-0.08302002,-0.0644,-0.0045,0.0106,1.0
2011-06-01,0.03882987,0.0026,0.036229870000000004,0.0227,0.0125,0.0036,1.0
2011-07-01,0.05466236,0.0029,0.05176236,-0.0162,0.0232,-0.0068,1.0
2011-08-01,-0.01753247,0.0029,-0.02043247,-0.0488,0.018,0.0075,1.0
2011-09-01,-0.09750653,0.0028,-0.10030652999999999,-0.0922,-0.0196,0.0368,1.0
2011-10-01,0.0550664,0.0029,0.0521664,0.0403,0.0014,0.0104,1.0
2011-11-01,-0.0507941,0.0028,-0.0535941,-0.0547,0.0184,0.014,1.0
2011-12-01,-0.12579706,0.0029,-0.12869705999999997,-0.0733,-0.0744,0.0768,1.0
2012-01-01,0.06289689,0.0029,0.05999689,0.0248,-0.0356,0.0201,1.0
2012-02-01,0.19728788,0.0027,0.19458788,0.0697,0.0545,-0.0309,1.0
2012-03-01,-0.09131972,0.0029,-0.09421971999999999,-0.0703,-0.0066,0.0123,1.0
2012-04-01,0.04400774,0.0028,0.04120774,0.0546,0.0104,-0.0168,1.0
