year,annual_return
2006,0.0918388742358105
2007,1.9494139482977255
2008,-0.540386295398779
2009,3.1359183331885996
2010,0.09545229604579086
2011,-0.16068790609198846
2012,0.3981969825376477
2013,0.14379115495319583
2014,0.4161150382925114
2015,1.1892124414581184
2016,-0.018559983191352103
2017,-0.18246457568763907
2018,-0.2645730839195478
2019,0.185055636213034
2020,-0.08798116131507261
2021,0.15438732208388228
2022,0.18670220504352564
2023,-0.048418578826754155
2024,-0.07441997351763896
2025,0.3521109337609567
